OTU_97.41189.0	Pasteurella multocida	Pasteurella
OTU_97.38269.0	Rothia dentocariosa	Rothia
OTU_97.30455.0	Campylobacter jejuni	Campylobacter
OTU_97.976.0	Streptococcus agalactiae	Streptococcus
OTU_97.21866.0	Campylobacter jejuni	Campylobacter
OTU_97.22593.0	Streptococcus infantarius	Streptococcus
OTU_97.34783.0	Streptococcus iniae	Streptococcus
OTU_97.837.1	Streptococcus intermedius	Streptococcus
OTU_97.27554.1	Clostridioides difficile	Clostridioides
OTU_97.28883.0	Streptococcus pneumoniae	Streptococcus
OTU_97.30394.0	Streptococcus cristatus	Streptococcus
OTU_97.25847.0	Campylobacter jejuni	Campylobacter
OTU_97.17408.1	Streptococcus constellatus	Streptococcus
OTU_97.30063.0	Streptococcus pyogenes	Streptococcus
OTU_97.37560.0	Campylobacter jejuni	Campylobacter
OTU_97.37207.0	Streptococcus pyogenes	Streptococcus
OTU_97.3142.0	Campylobacter jejuni	Campylobacter
OTU_97.34782.1	Streptococcus pyogenes	Streptococcus
OTU_97.36412.0	Streptococcus constellatus	Streptococcus
OTU_97.35376.0	Streptococcus pneumoniae	Streptococcus
OTU_97.44957.1	Trueperella pyogenes	Trueperella
OTU_97.23.0	Streptococcus pneumoniae	Streptococcus
OTU_97.17408.0	Streptococcus pyogenes	Streptococcus
OTU_97.934.0	Streptococcus pyogenes	Streptococcus
OTU_97.16670.0	Aggregatibacter aphrophilus	Aggregatibacter
OTU_97.9740.1	Campylobacter jejuni	Campylobacter
OTU_97.837.0	Streptococcus thermophilus	Streptococcus
OTU_97.10271.0	Campylobacter jejuni	Campylobacter
OTU_97.31370.0	Actinomyces oris	Actinomyces
OTU_97.31176.0	Campylobacter jejuni	Campylobacter
OTU_97.43496.0	Streptococcus pneumoniae	Streptococcus
OTU_97.43450.0	[Haemophilus] ducreyi	Haemophilus
OTU_97.16865.0	Streptococcus iniae	Streptococcus
OTU_97.44265.1	Lactococcus piscium	Lactococcus
OTU_97.2653.1	Streptococcus sp. VT 162	Streptococcus
